indice,data,horario,POX
"221","2018-09-13","20:39:00","445"
"222","2018-09-13","20:39:00","441"
"223","2018-09-13","20:39:00","439"
"224","2018-09-13","20:39:00","436"
"225","2018-09-13","20:39:00","438"
"226","2018-09-13","20:39:00","438"
"227","2018-09-13","20:39:00","440"
"228","2018-09-13","20:39:00","442"
"229","2018-09-13","20:39:00","443"
"230","2018-09-13","20:39:00","451"
"231","2018-09-13","20:39:00","448"
"232","2018-09-13","20:39:00","452"
"233","2018-09-13","20:39:00","452"
"234","2018-09-13","20:39:00","452"
"235","2018-09-13","20:39:00","454"
"236","2018-09-13","20:39:00","453"
"237","2018-09-13","20:39:00","451"
"238","2018-09-13","20:39:00","450"
"239","2018-09-13","20:39:00","449"
"240","2018-09-13","20:39:00","437"
"241","2018-09-13","20:39:00","452"
"242","2018-09-13","20:39:00","464"
"243","2018-09-13","20:39:00","499"
"244","2018-09-13","20:39:00","535"
"245","2018-09-13","20:39:00","585"
"246","2018-09-13","20:39:00","630"
"247","2018-09-13","20:39:00","682"
"248","2018-09-13","20:39:00","728"
"249","2018-09-13","20:39:00","749"
"250","2018-09-13","20:39:00","791"
"251","2018-09-13","20:39:00","779"
"252","2018-09-13","20:39:00","768"
"253","2018-09-13","20:39:00","731"
"254","2018-09-13","20:39:00","695"
"255","2018-09-13","20:39:00","651"
"256","2018-09-13","20:39:00","605"
"257","2018-09-13","20:39:00","560"
"258","2018-09-13","20:39:00","535"
"259","2018-09-13","20:39:00","485"
"260","2018-09-13","20:39:00","417"
"261","2018-09-13","20:39:00","396"
"262","2018-09-13","20:39:00","378"
"263","2018-09-13","20:39:00","370"
"264","2018-09-13","20:39:00","370"
"265","2018-09-13","20:39:00","373"
"266","2018-09-13","20:39:00","381"
"267","2018-09-13","20:39:00","392"
"268","2018-09-13","20:39:00","399"
"269","2018-09-13","20:39:00","417"
"270","2018-09-13","20:39:00","464"
"271","2018-09-13","20:39:00","484"
"272","2018-09-13","20:39:00","498"
"273","2018-09-13","20:39:00","512"
"274","2018-09-13","20:39:00","520"
"275","2018-09-13","20:39:00","532"
"276","2018-09-13","20:39:00","531"
"277","2018-09-13","20:39:00","529"
"278","2018-09-13","20:39:00","511"
"279","2018-09-13","20:39:00","512"
"280","2018-09-13","20:39:00","513"
"281","2018-09-13","20:39:00","513"
"282","2018-09-13","20:39:00","514"
"283","2018-09-13","20:39:00","516"
"284","2018-09-13","20:39:00","516"
"285","2018-09-13","20:39:00","522"
"286","2018-09-13","20:39:00","527"
"287","2018-09-13","20:39:00","540"
"288","2018-09-13","20:39:00","548"
"289","2018-09-13","20:39:00","543"
"290","2018-09-13","20:39:00","533"
"291","2018-09-13","20:39:00","527"
"292","2018-09-13","20:39:00","518"
"293","2018-09-13","20:39:00","510"
"294","2018-09-13","20:39:00","496"
"295","2018-09-13","20:39:00","481"
"296","2018-09-13","20:39:00","452"
"297","2018-09-13","20:39:00","441"
"298","2018-09-13","20:39:00","430"
"299","2018-09-13","20:39:00","431"
"300","2018-09-13","20:39:00","419"
"301","2018-09-13","20:39:00","415"
"302","2018-09-13","20:39:00","415"
"303","2018-09-13","20:39:00","415"
"304","2018-09-13","20:39:00","428"
"305","2018-09-13","20:39:00","437"
"306","2018-09-13","20:39:00","459"
"307","2018-09-13","20:39:00","494"
"308","2018-09-13","20:39:00","552"
"309","2018-09-13","20:39:00","605"
"310","2018-09-13","20:39:00","714"
"311","2018-09-13","20:39:00","756"
"312","2018-09-13","20:39:00","784"
"313","2018-09-13","20:39:00","802"
"314","2018-09-13","20:39:00","797"
"315","2018-09-13","20:39:00","770"
"316","2018-09-13","20:39:00","756"
"317","2018-09-13","20:39:00","718"
"318","2018-09-13","20:39:00","668"
"319","2018-09-13","20:39:00","623"
"320","2018-09-13","20:39:00","531"
"321","2018-09-13","20:39:00","489"
"322","2018-09-13","20:39:00","451"
"323","2018-09-13","20:39:00","424"
"324","2018-09-13","20:39:00","397"
"325","2018-09-13","20:39:00","378"
"326","2018-09-13","20:39:00","372"
"327","2018-09-13","20:39:00","376"
"328","2018-09-13","20:39:00","380"
"329","2018-09-13","20:39:00","393"
"330","2018-09-13","20:39:00","419"
"331","2018-09-13","20:39:00","441"
"332","2018-09-13","20:39:00","456"
"333","2018-09-13","20:39:00","474"
"334","2018-09-13","20:39:00","477"
"335","2018-09-13","20:39:00","483"
"336","2018-09-13","20:39:00","497"
"337","2018-09-13","20:39:00","506"
"338","2018-09-13","20:39:00","513"
"339","2018-09-13","20:39:00","514"
"340","2018-09-13","20:39:00","513"
"341","2018-09-13","20:39:00","513"
"342","2018-09-13","20:39:00","506"
"343","2018-09-13","20:39:00","504"
"344","2018-09-13","20:39:00","487"
"345","2018-09-13","20:39:00","512"
"346","2018-09-13","20:39:00","498"
"347","2018-09-13","20:39:00","493"
"348","2018-09-13","20:39:00","486"
"349","2018-09-13","20:39:00","489"
"350","2018-09-13","20:39:00","489"
"351","2018-09-13","20:39:00","483"
"352","2018-09-13","20:39:00","490"
"353","2018-09-13","20:39:00","473"
"354","2018-09-13","20:39:00","482"
"355","2018-09-13","20:39:00","485"
"356","2018-09-13","20:39:00","493"
"357","2018-09-13","20:39:00","500"
"358","2018-09-13","20:39:00","505"
"359","2018-09-13","20:39:00","511"
"360","2018-09-13","20:39:00","520"
"361","2018-09-13","20:39:00","527"
"362","2018-09-13","20:39:00","527"
"363","2018-09-13","20:39:00","524"
"364","2018-09-13","20:39:00","523"
"365","2018-09-13","20:39:00","527"
"366","2018-09-13","20:39:00","523"
"367","2018-09-13","20:39:00","526"
"368","2018-09-13","20:39:00","528"
"369","2018-09-13","20:39:00","537"
